Data,Região,Fonte_Energia,Geração_MWh,Custo_Operacional_BRL,Status_Operacao,Ano,Mes,Custo_por_MWh
2024-06-28 20:23:43.422100,Sudeste,Eólica,574.42,19715.35,Normal,2024,6,34.322185857038406
2025-05-27 20:23:43.422100,Nordeste,Hidrelétrica,499.32,11316.54,Normal,2025,5,22.66390290795482
2023-10-06 20:23:43.422100,Sul,Hidrelétrica,513.93,16676.42,Normal,2023,10,32.44881598661296
2024-12-13 20:23:43.422100,Nordeste,Solar,455.01,13758.7,Normal,2024,12,30.23823652227424
2024-07-02 20:23:43.422100,Sudeste,Hidrelétrica,663.69,13060.98,Normal,2024,7,19.679338245265107
2024-05-28 20:23:43.422100,Sudeste,Eólica,566.94,12095.49,Manutenção,2024,5,21.334691501746214
2026-02-16 20:23:43.422100,Sudeste,Hidrelétrica,476.0,4996.34,Normal,2026,2,10.496512605042017
2024-04-07 20:23:43.422100,Sudeste,Hidrelétrica,211.48,24726.15,Normal,2024,4,116.91956686211464
2025-11-22 20:23:43.422100,Norte,Solar,564.31,17768.04,Normal,2025,11,31.486310715741354
2021-09-27 20:23:43.422100,Sudeste,Solar,589.24,19367.56,Normal,2021,9,32.86871223949495
2022-09-07 20:23:43.422100,Centro-Oeste,Termelétrica,668.26,28782.777500000004,Normal,2022,9,43.071226019812656
2024-10-18 20:23:43.422100,Nordeste,Termelétrica,464.13,8977.24,Normal,2024,10,19.342080882511365
2022-04-24 20:23:43.422100,Sul,Hidrelétrica,923.28,17434.73,Normal,2022,4,18.88346980330994
2025-06-19 20:23:43.422100,Sudeste,Termelétrica,255.64,15286.9,Manutenção,2025,6,59.798544828665314
2021-08-24 20:23:43.422100,Sudeste,Hidrelétrica,229.9,15916.52,Manutenção,2021,8,69.23236189647673
2025-03-25 20:23:43.422100,Sudeste,Hidrelétrica,682.31,11329.3,Falha,2025,3,16.604329410385308
2024-06-25 20:23:43.422100,Sudeste,Eólica,647.79,7780.61,Normal,2024,6,12.01100665339076
2023-10-17 20:23:43.422100,Sudeste,Hidrelétrica,324.07,16092.49,Normal,2023,10,49.65745055080693
2026-01-10 20:23:43.422100,Sudeste,Hidrelétrica,500.4,6136.93,Normal,2026,1,12.264048760991209
2021-10-06 20:23:43.422100,Sul,Hidrelétrica,315.72,19443.95,Normal,2021,10,61.586057265931835
2026-01-08 20:23:43.422100,Centro-Oeste,Hidrelétrica,349.41,9889.33,Normal,2026,1,28.302939240433872
2025-01-20 20:23:43.422100,Sudeste,Termelétrica,271.18,22847.14,Normal,2025,1,84.25082970720554
