Data,Região,Fonte_Energia,Geração_MWh,Custo_Operacional_BRL,Status_Operacao
2024-06-28 20:23:43.422100,Sudeste,Eólica,574.42,19715.35,Normal
2025-05-27 20:23:43.422100,Nordeste,Hidrelétrica,499.32,11316.54,Normal
2023-10-06 20:23:43.422100,Sul,Hidrelétrica,513.93,16676.42,Normal
2024-12-13 20:23:43.422100,Nordeste,Solar,455.01,13758.7,Normal
2024-07-02 20:23:43.422100,Sudeste,Hidrelétrica,663.69,13060.98,Normal
2024-05-28 20:23:43.422100,Sudeste,Eólica,566.94,12095.49,Manutenção
2026-02-16 20:23:43.422100,Sudeste,Hidrelétrica,476.0,4996.34,Normal
2024-04-07 20:23:43.422100,Sudeste,Hidrelétrica,211.48,24726.15,Normal
2025-11-22 20:23:43.422100,Norte,Solar,564.31,17768.04,Normal
2021-09-27 20:23:43.422100,Sudeste,Solar,589.24,19367.56,Normal
2022-09-07 20:23:43.422100,Centro-Oeste,Termelétrica,668.26,138688.7,Normal
2024-10-18 20:23:43.422100,Nordeste,Termelétrica,464.13,8977.24,Normal
2022-04-24 20:23:43.422100,Sul,Hidrelétrica,923.28,17434.73,Normal
2025-06-19 20:23:43.422100,Sudeste,Termelétrica,255.64,15286.9,Manutenção
2021-08-24 20:23:43.422100,Sudeste,Hidrelétrica,229.9,15916.52,Manutenção
2025-03-25 20:23:43.422100,Sudeste,Hidrelétrica,682.31,11329.3,Falha
2024-06-25 20:23:43.422100,Sudeste,Eólica,647.79,7780.61,Normal
2023-10-17 20:23:43.422100,Sudeste,Hidrelétrica,324.07,16092.49,Normal
2026-01-10 20:23:43.422100,Sudeste,Hidrelétrica,500.4,6136.93,Normal
2021-10-06 20:23:43.422100,Sul,Hidrelétrica,315.72,19443.95,Normal
2026-01-08 20:23:43.422100,Centro-Oeste,Hidrelétrica,349.41,9889.33,Normal
2025-01-20 20:23:43.422100,Sudeste,Termelétrica,271.18,22847.14,Normal
2023-07-07 20:23:43.422100,Sudeste,Eólica,286.77,4301.28,Normal
2022-05-07 20:23:43.422100,Centro-Oeste,Hidrelétrica,472.36,7779.17,Normal
2025-07-22 20:23:43.422100,Centro-Oeste,Solar,760.27,12628.17,Normal
2025-05-05 20:23:43.422100,Sul,Termelétrica,488.46,24769.13,Normal
2023-08-12 20:23:43.422100,Norte,Hidrelétrica,584.56,13278.82,Manutenção
2022-06-18 20:23:43.422100,Nordeste,Solar,436.45,12602.92,Normal
2024-09-25 20:23:43.422100,Centro-Oeste,Eólica,738.54,17255.34,Normal
2024-01-09 20:23:43.422100,Norte,Eólica,436.0,13501.26,Normal
